WELL_ID	Year	Month	Rate
5	1391	1	4,012
5	1391	2	4,031
5	1391	3	4,043
5	1391	4	4,029
5	1391	5	3,803
5	1391	6	3,920
5	1391	7	4,027
5	1391	8	4,000
5	1391	9	4,116
5	1391	10	4,098
5	1391	11	3,988
5	1391	12	4,020
5	1392	1	3,922
5	1392	2	3,949
5	1392	3	3,944
5	1392	4	3,941
5	1392	5	3,977
5	1392	6	4,021
5	1392	7	4,031
5	1392	8	3,965
5	1392	9	3,993
5	1392	10	3,955
5	1392	11	3,960
5	1392	12	4,023
5	1393	1	4,051
5	1393	2	3,793
5	1393	3	3,963
5	1393	4	4,152
5	1393	5	3,884
5	1393	6	4,036
5	1393	7	4,000
5	1393	8	4,003
5	1393	9	4,022
5	1393	10	4,002
5	1393	11	4,002
5	1393	12	3,991
5	1394	1	3,996
5	1394	2	4,002
5	1394	3	3,980
5	1394	4	3,827
5	1394	5	4,002
5	1394	6	3,991
5	1394	7	4,000
5	1394	8	4,000
5	1394	9	4,137
5	1394	10	3,915
5	1394	11	3,569
5	1394	12	3,463
5	1395	1	4,171
5	1395	2	4,334
5	1395	3	4,269
5	1395	4	4,000
5	1395	5	4,002
5	1395	6	4,043
5	1395	7	4,049
5	1395	8	4,079
5	1395	9	3,928
5	1395	10	4,000
5	1395	11	4,039
5	1395	12	4,000
5	1396	1	4,013
5	1396	2	3,995
5	1396	3	4,004
5	1396	4	3,973
5	1396	5	4,001
5	1396	6	4,005
5	1396	7	4,001
5	1396	8	4,000
5	1396	9	3,990
5	1396	10	3,907
5	1396	11	3,995
5	1396	12	3,995
5	1397	1	4,017
5	1397	2	4,008
5	1397	3	4,000
5	1397	4	4,000
5	1397	5	4,001
5	1397	6	4,009
5	1397	7	4,036
5	1397	8	4,002
5	1397	9	4,003
5	1397	10	3,973
5	1397	11	3,999
5	1397	12	3,934
5	1398	1	3,867
5	1398	2	4,000
5	1398	3	4,000
5	1398	4	3,970
5	1398	5	4,002
5	1398	6	3,992
5	1398	7	0
5	1398	8	0
5	1398	9	0
5	1398	10	0
5	1398	11	0
5	1398	12	0
5	1399	1	0
5	1399	2	0
5	1399	3	4,042
5	1399	4	3,998
5	1399	5	3,997
5	1399	6	4,014
5	1399	7	3,993
5	1399	8	4,014
5	1399	9	4,081
5	1399	10	3,985
5	1399	11	4,080
5	1399	12	4,014
5	1400	1	3,987
5	1400	2	3,989
5	1400	3	4,220
5	1400	4	4,010
5	1400	5	3,981
5	1400	6	3,987
5	1400	7	3,988
5	1400	8	4,022
5	1400	9	3,998
5	1400	10	4,000
5			
15	1371	2	2,786
15	1371	3	2,935
15	1371	4	2,152
15	1371	5	2,637
15	1371	6	3,207
15	1371	7	3,610
15	1371	8	5,543
15	1371	9	6,146
15	1371	10	6,588
15	1371	11	6,293
15	1371	12	6,116
15	1372	1	6,059
15	1372	2	6,030
15	1372	3	5,995
15	1372	4	6,223
15	1372	5	6,742
15	1372	6	6,554
15	1372	7	6,575
15	1372	8	6,841
15	1372	9	7,066
15	1372	10	6,928
15	1372	11	6,949
15	1372	12	6,955
15	1373	1	7,647
15	1373	2	7,727
15	1373	3	7,830
15	1373	4	7,369
15	1373	5	7,329
15	1373	6	7,376
15	1373	7	7,949
15	1373	8	8,137
15	1373	9	7,847
15	1373	10	7,987
15	1373	11	7,942
15	1373	12	7,605
15	1374	1	7,626
15	1374	2	7,712
15	1374	3	7,716
15	1374	4	7,069
15	1374	5	5,516
15	1374	6	4,478
15	1374	7	3,736
15	1374	8	3,917
15	1374	9	3,893
15	1374	10	3,769
15	1374	11	4,019
15	1374	12	3,948
15	1375	1	4,072
15	1375	2	4,341
15	1375	3	4,228
15	1375	4	4,283
15	1375	5	3,983
15	1375	6	4,093
15	1375	7	4,269
15	1375	8	4,427
15	1375	9	4,522
15	1375	10	4,258
15	1375	11	4,389
15	1375	12	4,974
15	1376	1	4,497
15	1376	2	4,615
15	1376	3	5,155
15	1376	4	4,966
15	1376	5	5,010
15	1376	6	4,895
15	1376	7	4,950
15	1376	8	5,026
15	1376	9	5,006
15	1376	10	4,921
15	1376	11	4,911
15	1376	12	4,774
15	1377	1	4,916
15	1377	2	4,902
15	1377	3	4,614
15	1377	4	4,734
15	1377	5	4,846
15	1377	6	4,876
15	1377	7	4,847
15	1377	8	4,763
15	1377	9	4,892
15	1377	10	4,699
15	1377	11	5,277
15	1377	12	5,045
15	1378	1	4,874
15	1378	2	4,950
15	1378	3	4,743
15	1378	4	4,995
15	1378	5	4,874
15	1378	6	4,941
15	1378	7	4,952
15	1378	8	4,896
15	1378	9	5,343
15	1378	10	5,033
15	1378	11	4,945
15	1378	12	4,866
15	1379	1	4,905
15	1379	2	4,837
15	1379	3	4,765
15	1379	4	4,940
15	1379	5	5,060
15	1379	6	4,909
15	1379	7	4,356
15	1379	8	5,004
15	1379	9	4,914
15	1379	10	4,926
15	1379	11	4,788
15	1379	12	4,876
15	1380	1	4,555
15	1380	2	4,713
15	1380	3	4,758
15	1380	4	4,902
15	1380	5	4,950
15	1380	6	4,971
15	1380	7	4,981
15	1380	8	4,868
15	1380	9	4,650
15	1380	10	4,782
15	1380	11	4,963
15	1380	12	4,938
15	1381	1	4,598
15	1381	2	4,832
15	1381	3	5,005
15	1381	4	4,767
15	1381	5	4,886
15	1381	6	4,665
15	1381	7	5,135
15	1381	8	4,985
15	1381	9	3,867
15	1381	10	5,048
15	1381	11	5,014
15	1381	12	5,088
15	1382	1	5,107
15	1382	2	4,923
15	1382	3	5,092
15	1382	4	5,168
15	1382	5	5,012
15	1382	6	5,064
15	1382	7	4,981
15	1382	8	5,081
15	1382	9	5,183
15	1382	10	5,110
15	1382	11	5,112
15	1382	12	5,141
15	1383	1	4,873
15	1383	2	4,650
15	1383	3	3,894
15	1383	4	3,083
15	1383	5	2,561
15	1383	6	2,342
15	1383	7	2,052
15	1383	8	1,502
15	1383	9	1,085
15	1383	10	1,042
15	1383	11	1,073
15	1383	12	1,048
15	1384	1	1,005
15	1384	2	1,001
15	1384	3	1,002
15	1384	4	461
15	1384	5	0
15	1384	6	0
15	1384	7	0
15	1384	8	0
15	1384	9	0
15	1384	10	487
15	1384	11	2,280
15	1384	12	2,992
15	1385	1	2,943
15	1385	2	2,701
15	1385	3	2,908
15	1385	4	3,056
15	1385	5	3,066
15	1385	6	2,992
15	1385	7	3,038
15	1385	8	3,028
15	1385	9	2,968
15	1385	10	2,950
15	1385	11	3,027
15	1385	12	2,878
15	1386	1	2,915
15	1386	2	2,964
15	1386	3	3,339
15	1386	4	3,343
15	1386	5	3,409
15	1386	6	3,490
15	1386	7	3,476
15	1386	8	3,524
15	1386	9	3,459
15	1386	10	3,219
15	1386	11	3,385
15	1386	12	3,398
15	1387	1	3,513
15	1387	2	3,540
15	1387	3	3,567
15	1387	4	3,452
15	1387	5	3,378
15	1387	6	3,551
15	1387	7	3,380
15	1387	8	3,444
15	1387	9	3,312
15	1387	10	3,448
15	1387	11	3,374
15	1387	12	3,469
15	1388	1	3,510
15	1388	2	3,544
15	1388	3	3,458
15	1388	4	3,512
15	1388	5	3,397
15	1388	6	3,435
15	1388	7	3,442
15	1388	8	3,489
15	1388	9	3,502
15	1388	10	3,492
15	1388	11	3,082
15	1388	12	3,437
15	1389	1	3,589
15	1389	2	3,512
15	1389	3	3,483
15	1389	4	3,257
15	1389	5	3,007
15	1389	6	3,002
15	1389	7	2,936
15	1389	8	2,960
15	1389	9	2,916
15	1389	10	2,986
15	1389	11	2,958
15	1389	12	2,500
15	1390	1	2,484
15	1390	2	2,498
15	1390	3	2,414
15	1390	4	2,492
15	1390	5	2,499
15	1390	6	2,509
15	1390	7	2,525
15	1390	8	2,516
15	1390	9	1,755
15	1390	10	1,503
15	1390	11	1,499
15	1390	12	1,507
15	1391	1	1,503
15	1391	2	1,519
15	1391	3	1,514
15	1391	4	1,507
15	1391	5	1,423
15	1391	6	1,465
15	1391	7	1,499
15	1391	8	1,496
15	1391	9	1,542
15	1391	10	1,534
15	1391	11	1,489
15	1391	12	1,505
15	1392	1	1,464
15	1392	2	1,480
15	1392	3	1,501
15	1392	4	1,491
15	1392	5	1,489
15	1392	6	1,507
15	1392	7	1,513
15	1392	8	1,487
15	1392	9	1,504
15	1392	10	1,495
15	1392	11	1,513
15	1392	12	1,505
15	1393	1	1,510
15	1393	2	1,421
15	1393	3	1,478
15	1393	4	1,514
15	1393	5	1,448
15	1393	6	1,512
15	1393	7	1,499
15	1393	8	1,499
15	1393	9	1,488
15	1393	10	1,500
15	1393	11	1,499
15	1393	12	1,491
15	1394	1	1,500
15	1394	2	1,501
15	1394	3	1,493
15	1394	4	1,435
15	1394	5	1,501
15	1394	6	1,499
15	1394	7	1,500
15	1394	8	1,500
15	1394	9	1,552
15	1394	10	1,488
15	1394	11	1,383
15	1394	12	0
