,NPD_FIELD_CODE,NPD_FACILITY_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE
2880,0.0,0.0,0.96,0.0,0.0,0.1661391154904474,0.5126090916666667,0.3832289319729085,0.9471556729001327,0.1609919070995631
2881,0.0,0.0,0.96,0.0,0.0,0.1667600625557431,0.5091861,0.38466125499896114,0.950469475384857,0.16242356505967723
2882,0.0,0.0,0.96,0.0,0.0,0.16676676051785666,0.5094490479166667,0.3846767050202255,0.951814843274877,0.1624621407095226
2883,0.0,0.0,0.96,0.0,0.0,0.166874594221761,0.5092559083333333,0.3849254423212275,0.9449095550929968,0.1623150168098056
2884,0.0,0.0,0.8933332,0.0,0.0,0.16495853859736673,0.4828610804347826,0.3805057248551168,0.9249601204256734,0.1560842515944149
2885,0.0,0.0,0.96,0.0,0.0,0.1620148770559093,0.5208387708333333,0.37371565458603967,0.9379370545491967,0.15052159320632974
2886,0.0,0.0,0.96,0.0,0.0,0.16212254303121315,0.5206920291666667,0.3739640049916844,0.947599791815457,0.1508012872286324
2887,0.0,0.0,0.96,0.0,0.0,0.1619556918815032,0.5208999666666666,0.37357913362823075,0.9537044557351221,0.15036281755700537
2888,0.0,0.0,0.96,0.0,0.0,0.16219499256400796,0.5098329958333333,0.37413112251240155,0.9540909781534873,0.15107659355159184
2889,0.0,0.0,0.96,0.0,0.0,0.1628041578601916,0.5221077854166667,0.3755362688270564,0.9484263603880192,0.15268317906564557
2890,0.0,0.0,0.96,0.0,0.0,0.16515374613922965,0.5113152770833334,0.3809560051973489,0.9512326168581252,0.15873634019504904
2891,0.0,0.0,0.96,0.0,0.0,0.1669274688542328,0.5042834395833333,0.38504740691018535,0.9361392374925526,0.16280247351168922
2892,0.0,0.0,0.96,0.0,0.0,0.16695271957284,0.5039613875,0.38510565210966663,0.9404446361974174,0.16282252586728696
2893,0.0,0.0,0.96,0.0,0.0,0.16764069164465722,0.5045304125,0.38669258003769497,0.9231333625132002,0.16476423908254223
2894,0.0,0.0,0.96,0.0,0.0,0.16736606072729876,0.5046052895833334,0.38605909578664827,0.9244728843001414,0.1640302795638423
